NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,7542,151,1;5;61;79;100;
15,1,true,7618,124,1;8;2;7;18;20;24;35;100;
15,1,true,7542,126,1;2;5;14;44;52;100;
15,1,true,7542,147,1;2;24;71;30;11;100;
15,1,true,7542,166,2;8;6;44;77;9;11;100;
15,1,true,7542,140,14;25;3;11;74;5;100;
15,1,true,7542,77,4;3;5;9;49;100;
15,1,true,7565,134,1;16;22;89;100;
15,1,true,7542,28,1;2;3;2;1;1;9;100;
15,1,true,7645,115,5;5;6;93;100;
15,2,true,7567,34,2;4;12;2;3;4;100;
15,2,true,7542,106,10;2;5;9;71;1;100;
15,2,true,7542,113,19;15;75;100;
15,2,true,7542,23,1;3;3;9;100;
15,2,true,7542,92,1;1;4;23;12;43;100;
15,2,true,7542,89,1;2;40;22;17;100;
15,2,true,7542,86,11;14;14;41;100;
15,2,true,7596,3,100;
15,2,true,7542,95,1;39;1;48;100;
15,2,true,7543,62,1;14;13;5;14;7;100;
15,3,true,7542,61,2;30;11;11;100;
15,3,true,7542,42,1;1;1;33;100;
15,3,true,7542,120,3;2;78;4;25;100;
15,3,true,7542,31,1;3;23;100;
15,3,true,7542,92,1;39;25;19;100;
15,3,true,7542,48,34;11;100;
15,3,true,7542,105,27;2;70;100;
15,3,true,7542,101,2;11;10;16;41;13;100;
15,3,true,7570,13,5;3;100;
15,3,true,7542,112,3;28;33;31;8;100;
15,4,true,7542,98,2;44;45;100;
15,4,true,7542,80,4;31;7;24;8;100;
15,4,true,7542,66,5;6;37;13;100;
15,4,true,7542,112,12;41;35;4;14;100;
15,4,true,7542,95,2;2;28;7;19;30;100;
15,4,true,7542,24,20;100;
15,4,true,7542,3,1;100;
15,4,true,7542,122,8;2;2;26;75;100;
15,4,true,7542,96,2;1;71;14;100;
15,4,true,7542,41,6;30;100;
15,5,true,7542,111,23;18;9;23;15;16;100;
15,5,true,7542,51,1;1;10;13;19;100;
15,5,true,7542,10,7;100;
15,5,true,7542,9,1;4;100;
15,5,true,7542,6,4;100;
15,5,true,7542,57,11;10;24;6;100;
15,5,true,7542,120,2;40;32;17;21;100;
15,5,true,7542,100,1;20;3;32;18;16;2;100;
15,5,true,7542,16,5;6;100;
15,5,true,7542,107,9;9;15;26;9;32;100;
15,6,true,7542,71,4;1;3;16;12;28;100;
15,6,true,7542,85,7;9;18;1;43;100;
15,6,true,7542,64,59;100;
15,6,true,7616,6,1;1;100;
15,6,true,7542,56,7;45;100;
15,6,true,7542,81,6;2;5;62;100;
15,6,true,7553,9,1;2;2;100;
15,6,true,7542,88,1;30;19;33;100;
15,6,true,7596,29,4;3;18;100;
15,6,true,7542,117,3;22;87;100;
15,7,true,7542,5,100;
15,7,true,7542,1,100;
15,7,true,7542,33,2;27;100;
15,7,true,7542,44,3;2;21;10;1;100;
15,7,true,7542,6,2;100;
15,7,true,7542,59,44;12;100;
15,7,true,7542,73,15;53;100;
15,7,true,7542,69,2;10;50;100;
15,7,true,7542,27,9;11;100;
15,7,true,7542,29,2;5;2;15;100;
15,8,true,7542,8,5;100;
15,8,true,7542,9,2;1;2;100;
15,8,true,7542,8,1;1;100;
15,8,true,7542,70,1;4;3;8;5;41;100;
15,8,true,7542,106,1;6;1;24;53;10;100;
15,8,true,7542,102,15;31;34;17;100;
15,8,true,7542,121,4;25;51;5;28;100;
15,8,true,7542,45,3;38;100;
15,8,true,7542,58,3;18;9;23;100;
15,8,true,7542,31,27;100;
15,9,true,7582,10,4;100;
15,9,true,7542,31,4;2;21;100;
15,9,true,7542,57,36;18;100;
15,9,true,7542,21,8;5;4;100;
15,9,true,7542,3,100;
15,9,true,7542,97,2;19;47;16;7;100;
15,9,true,7542,67,64;100;
15,9,true,7542,55,2;35;12;100;
15,9,true,7542,64,1;19;5;34;100;
15,9,true,7542,34,1;5;15;6;100;
15,10,true,7542,73,11;13;12;32;100;
15,10,true,7542,5,2;100;
15,10,true,7542,70,2;1;8;53;100;
15,10,true,7542,39,2;4;22;1;4;100;
15,10,true,7542,10,8;100;
15,10,true,7542,70,13;53;100;
15,10,true,7542,29,1;25;100;
15,10,true,7542,1,100;
15,10,true,7542,61,2;4;29;20;100;
15,10,true,7542,81,12;3;60;100;
15,11,true,7542,95,1;2;8;7;10;60;100;
15,11,true,7542,2,100;
15,11,true,7542,13,3;7;100;
15,11,true,7542,51,8;39;100;
15,11,true,7542,81,60;17;100;
15,11,true,7542,1,100;
15,11,true,7542,28,2;3;18;100;
15,11,true,7542,19,2;14;100;
15,11,true,7542,79,1;49;19;5;100;
15,11,true,7542,79,16;59;100;
15,12,true,7542,89,9;77;100;
15,12,true,7542,25,1;3;16;100;
15,12,true,7542,57,16;38;100;
15,12,true,7542,52,4;7;36;100;
15,12,true,7542,27,14;7;100;
15,12,true,7542,47,1;3;8;2;2;23;100;
15,12,true,7542,20,1;14;1;100;
